4985	4985	1.000000	180
4985	5086	0.006026	1
4985	5195	0.065033	13
4985	5216	0.015931	3
4985	5219	0.006169	1
4985	5498	0.008386	1
4985	5830	0.013901	2
4985	5832	0.037268	3
4985	5840	0.061178	8
4985	5860	0.008333	1
4985	5865	0.012254	1
4985	5871	0.014907	2
4985	6574	0.047140	6
4985	15311	0.012091	1
4985	18941	0.006693	2
4985	25556	0.012599	1
4985	25557	0.012254	1
4985	26054	0.017100	1
4985	39188	0.105409	10
4985	42469	0.037268	1
4985	42509	0.026352	1
4985	43743	0.014086	1
4985	50139	0.039841	2
4985	50178	0.008133	1
4985	52080	0.033333	1
4985	81762	0.068199	6
4985	81764	0.040161	3
4985	81768	0.028172	1
4985	93977	0.022473	1
4985	104243	0.024845	1
4985	105683	0.019920	1
4985	121651	0.020286	2
4985	136802	0.074536	3
5066	5066	1.000000	103
5066	5371	0.018297	1
5066	5872	0.019707	1
5066	5873	0.077897	5
5066	6381	0.018963	1
5066	6523	0.010217	1
5066	9582	0.017418	1
5066	10156	0.123166	5
5066	14069	0.017418	1
5066	15807	0.019324	1
5066	15843	0.022033	1
5066	18941	0.008849	2
5066	19399	0.023224	1
5066	19494	0.020546	1
5066	21395	0.010109	1
5066	25648	0.016655	1
5066	29031	0.014076	1
5066	29624	0.016836	2
5066	34201	0.098533	2
5066	38192	0.032844	1
5066	38468	0.028745	2
5066	40672	0.027328	1
5066	54275	0.031159	1
5066	55805	0.017990	1
5066	63732	0.024633	1
5066	66748	0.015388	1
5066	69299	0.022605	1
5066	75286	0.020113	1
5066	84174	0.174183	5
5066	94063	0.040226	1
5066	110980	0.069673	1
5066	112516	0.027328	1
5066	116508	0.016898	1
5066	116991	0.139347	2
5066	116992	0.201129	5
5066	117637	0.040226	1
5066	118038	0.049266	1
5066	126014	0.032844	1
5066	138357	0.065689	2
5066	164604	0.044065	1
5067	5067	1.000000	14
5067	12204	0.030861	1
5067	25554	0.003996	1
5067	86147	0.154303	1
5067	111064	0.056980	1
5067	122989	0.029881	1
5067	128005	0.133631	1
5084	5084	1.000000	61
5084	5216	0.018244	2
5084	6012	0.033624	2
5084	6551	0.056481	6
5084	18941	0.097733	17
5084	30265	0.022288	1
5084	30394	0.022634	1
5084	37568	0.021049	1
5084	42139	0.029374	1
5084	42140	0.048393	1
5084	42622	0.064018	1
5084	88648	0.145180	3
5086	5086	1.000000	153
5086	5195	0.005426	1
5086	5217	0.014760	1
5086	5871	0.008085	1
5086	6386	0.010028	1
5086	6523	0.008383	1
5086	6551	0.011888	2
5086	6574	0.017044	2
5086	6645	0.006984	1
5086	9359	0.009274	1
5086	10001	0.057166	2
5086	12287	0.075755	6
5086	15311	0.013115	1
5086	18941	0.061711	17
5086	21395	0.008295	1
5086	25635	0.033005	2
5086	26537	0.008874	1
5086	31550	0.036616	4
5086	38192	0.026948	1
5086	39135	0.024103	2
5086	39188	0.022866	2
5086	41831	0.020211	1
5086	42280	0.023338	1
5086	43743	0.015278	1
5086	44807	0.016502	1
5086	46040	0.019055	1
5086	46800	0.033005	1
5086	48022	0.024376	1
5086	49186	0.042833	4
5086	53227	0.011920	1
5086	53229	0.028147	2
5086	53230	0.040423	1
5086	53231	0.020211	1
5086	53609	0.019055	1
5086	57051	0.017642	1
5086	58434	0.036155	1
5086	66710	0.024376	1
5086	75246	0.019608	1
5086	80102	0.024376	1
5086	82037	0.046676	1
5086	92200	0.025565	1
5086	96077	0.028583	1
5086	117803	0.057166	1
5086	135227	0.025565	1
5086	166832	0.057166	1
5172	5172	1.000000	41
5172	5498	0.017571	1
5172	5832	0.026029	1
5172	5836	0.029001	1
5172	5873	0.024693	1
5172	5874	0.012544	1
5172	6582	0.077024	3
5172	9391	0.023027	1
5172	9648	0.148275	8
5172	12140	0.110432	1
5172	17103	0.039043	1
5172	17120	0.032564	1
5172	25525	0.025675	1
5172	25527	0.024390	1
5172	25535	0.047088	1
5172	25644	0.040324	1
5172	25648	0.105593	4
5172	39190	0.071657	2
5172	42696	0.047088	1
5172	44807	0.031879	1
5172	88943	0.036811	1
5172	95870	0.059028	1
5172	121651	0.021253	1
5172	122689	0.013294	1
5188	5188	1.000000	52
5188	5382	0.021398	1
5188	6435	0.032686	1
5188	11223	0.023113	1
5188	12696	0.025318	1
5188	18941	0.018680	3
5188	79692	0.015803	1
5188	79847	0.035806	1
5188	118456	0.080064	1
5188	126014	0.046225	1
5188	170877	0.043853	1
5195	5195	1.000000	222
5195	5216	0.004782	1
5195	5219	0.005555	1
5195	5832	0.011186	1
5195	5833	0.014823	2
5195	5871	0.020135	3
5195	5874	0.005391	1
5195	5876	0.020339	3
5195	6017	0.047458	4
5195	6536	0.025953	4
5195	6576	0.053891	7
5195	6582	0.011034	1
5195	6645	0.011596	2
5195	18941	0.006027	2
5195	21850	0.047458	1
5195	23810	0.007649	1
5195	25648	0.011345	1
5195	25664	0.021224	1
5195	30960	0.009588	1
5195	33010	0.012684	1
5195	40671	0.038749	1
5195	41358	0.047458	4
5195	45419	0.006997	1
5195	47627	0.012054	1
5195	49186	0.008890	1
5195	53225	0.030015	2
5195	53226	0.015008	1
5195	53232	0.013700	1
5195	56312	0.020470	2
5195	56332	0.026325	2
5195	97411	0.023729	2
5195	97658	0.067116	1
