4985	52080
4985	12556
4985	68046
4985	120332
4985	20181
4985	248039
4985	336797
4985	72770
4985	81766
4985	234834
4985	14751
4985	170979
4985	136802
4985	195447
4985	31542
4985	241466
5066	75246
5066	57588
5066	5067
5066	349514
5066	135319
5066	110718
5066	110681
5066	102574
5066	73153
5066	112166
5066	69835
5066	111911
5066	262662
5066	24580
5066	305843
5066	49646
5066	45592
5066	69299
5066	305839
5066	41618
5066	135490
5066	235840
5066	327147
5066	305847
5066	110677
5066	305841
5066	50730
5066	33180
5066	305846
5066	350104
5066	117703
5066	41535
5066	71031
5066	43252
5066	305840
5066	58122
5066	150467
5066	310538
5066	77484
5066	65886
5066	135491
5066	110697
5084	290045
5084	307378
5084	37568
5084	307382
5086	315299
5086	53618
5086	288252
5086	304069
5086	53555
5086	53227
5086	191425
5086	55550
5086	37311
5086	53609
5086	82037
5086	53608
5086	317170
5172	96010
5172	17089
5172	336846
5172	305862
5172	310995
5172	305861
5172	327426
5172	25532
5172	305857
5172	175105
5172	58801
5172	338304
5172	305856
5172	301351
5172	332062
5172	121922
5172	121204
5172	305859
5172	333147
5172	42519
5172	318853
5172	306215
5172	46039
5172	342418
5172	25526
5172	237161
5172	333054
5172	60969
5172	123976
5172	318206
5172	67081
5172	67148
5172	58797
5172	28936
5172	108574
5188	286442
5188	126014
5195	53225
5195	52080
5195	312654
5195	292242
5195	57595
5195	101663
5195	240282
5195	234834
5195	64273
5195	56752
5195	6576
5195	58435
5195	314252
5195	323731
5195	82037
5195	50793
5195	53226
5195	19894
5195	6017
5208	309014
5208	151188
5208	140724
5208	309012
5208	88782
5209	160866
5209	308322
5209	262579
5209	306089
5209	309431
5209	69251
5209	31940
5209	44383
5209	176653
5209	110748
5209	280157
5209	5383
5209	288744
5209	75370
5210	226108
5210	98527
5210	77491
5210	307596
5211	44706
5211	199115
5211	130622
5211	5333
5211	44081
5211	32740
5211	255707
5211	176743
5211	43790
5211	322743
5211	54584
5211	39379
5211	43792
5211	5328
5211	43794
5211	43793
5211	262296
5212	44574
5212	59108
5212	44380
5212	31446
5212	177429
5212	14093
5212	37200
5212	44381
